Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

5.80799984,0.15748030,0,0,1,0,0,1,1,1,1,0
5.82399984,0.15748030,0,0,1,0,0,1,1,1,1,0
5.83999983,0.15748030,0,0,1,0,0,1,1,1,1,0
5.85599983,-0.15748030,0,0,1,0,0,1,1,1,1,0
5.87199983,0.00000000,0,0,1,0,0,1,1,1,1,0
5.88799983,0.15748030,0,0,1,0,0,1,1,1,1,0
5.90399983,0.15748030,0,0,1,0,0,1,1,1,1,0
5.91999983,0.31557580,0,0,1,0,0,1,1,1,1,0
5.93599983,0.31557580,0,0,1,0,0,1,1,1,1,0
5.95199983,0.47367130,0,0,1,0,0,1,1,1,1,0
5.96799983,0.15748030,0,0,1,0,0,1,1,1,1,0
5.98399983,0.00000000,0,0,1,0,0,1,1,1,1,0
5.99999983,0.00000000,0,0,1,0,0,1,1,1,1,0
6.01599983,0.31557580,0,0,1,0,0,1,1,1,1,1
6.03199983,0.15748030,0,0,1,0,0,1,1,1,1,1
6.04799983,0.15748030,0,0,1,0,0,1,1,1,1,1
6.06399983,0.47367130,0,0,1,0,0,1,1,1,1,1
6.07999983,0.00000000,0,0,1,0,0,1,0,1,1,1
6.09599983,0.47367130,0,0,0,1,1,1,0,1,1,1
6.11199983,0.15748030,0,0,0,1,1,1,0,1,1,1
6.12799983,0.15748030,0,0,0,1,1,1,0,1,1,1
6.14399983,0.31557580,0,0,0,1,1,1,0,1,1,1
6.15999983,0.15748030,0,0,0,1,1,1,0,1,1,1
6.17599983,0.15748030,0,0,0,1,1,1,0,1,1,1
6.19199982,0.15748030,0,0,0,1,1,1,0,1,1,1
6.20799982,0.15748030,0,0,0,1,1,1,0,1,1,1
6.22399982,0.31557580,0,0,0,1,1,1,0,1,1,1
6.23999982,0.47367130,0,0,0,1,1,1,0,1,1,1
6.25599982,0.15748030,0,0,0,1,1,1,0,1,1,0
6.27199982,0.00000000,0,0,0,1,1,1,0,1,1,0
6.28799982,0.47367130,0,0,0,1,1,1,0,1,1,0
6.30399982,0.15748030,0,0,0,1,1,1,0,1,1,0
6.31999982,0.00000000,0,0,0,1,1,1,0,1,1,0
6.33599982,0.31557580,0,0,0,1,1,1,0,1,1,0
6.35199982,0.47367130,0,0,0,1,1,1,0,1,1,0
6.36799982,0.47367130,0,0,0,1,1,1,0,1,1,0
6.38399982,0.15748030,0,0,0,1,1,1,0,1,1,0
6.39999982,0.31557580,0,0,0,1,1,1,0,1,1,0
6.41599982,0.47367130,0,0,0,1,1,1,0,1,1,0
6.43199982,0.15748030,0,0,0,1,1,1,0,1,1,0
6.44799982,0.31557580,0,0,0,1,1,1,0,1,1,0
6.46399982,0.31557580,0,0,0,1,1,1,0,1,1,0
6.47999982,0.00000000,0,0,0,1,1,1,0,1,1,0
6.49599982,0.31557580,0,0,0,1,1,1,0,1,1,0
6.51199982,0.15748030,0,0,0,1,1,1,0,1,1,1
6.52799982,0.47367130,0,0,0,1,1,1,0,1,1,1
6.54399981,0.31557580,0,0,0,1,1,1,0,1,1,1
6.55999981,0.15748030,0,0,0,1,1,1,0,1,1,1
6.57599981,0.47367130,0,0,0,1,1,1,0,1,1,1
6.59199981,0.15748030,0,0,1,1,0,1,1,0,1,1
6.60799981,0.00000000,0,0,1,1,0,1,1,0,1,1
